subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
CH-JU,"47.3567,7.1599","[47.1504, 47.5045, 6.8408, 7.5583]",,233.11,"CH-BE,CH-BL,CH-NE,CH-SO"
CH-LU,"47.0908,8.172","[46.775, 47.2872, 7.8364, 8.5141]",,285.95,"CH-AG,CH-BE,CH-NW,CH-OW,CH-SO,CH-SZ,CH-UR,CH-ZG,CH-ZH"
CH-NE,"47.0099,6.8244","[46.8466, 47.1656, 6.4327, 7.0877]",,174.81,"CH-BE,CH-FR,CH-JU,CH-VD"
CH-NW,"46.9428,8.412","[46.7715, 47.02, 8.2181, 8.5749]",,140.07,"CH-BE,CH-LU,CH-OW,CH-SZ,CH-UR"
CH-OW,"46.8614,8.2068","[46.7532, 46.9805, 8.0422, 8.5069]",,167.29,"CH-BE,CH-LU,CH-NW,CH-SZ,CH-UR"
CH-SG,"47.1561,9.3383","[46.8729, 47.5472, 8.7956, 9.6741]",,352.29,"CH-AI,CH-AR,CH-GL,CH-GR,CH-SZ,CH-TG,CH-UR,CH-ZH"
CH-SH,"47.6971,8.6347","[47.5524, 47.8085, 8.4046, 8.8762]",,184.47,"CH-AG,CH-TG,CH-ZH"
CH-SO,"47.3187,7.6698","[47.0743, 47.5027, 7.3404, 8.0314]",,379.46,"CH-AG,CH-BE,CH-BL,CH-JU,CH-LU"
CH-SZ,"47.0572,8.7222","[46.8853, 47.2226, 8.3887, 9.0047]",,199.55,"CH-AG,CH-BE,CH-GL,CH-GR,CH-LU,CH-NW,CH-OW,CH-SG,CH-UR,CH-ZG,CH-ZH"
CH-TG,"47.586,9.1429","[47.3759, 47.6954, 8.668, 9.5028]",,291.54,"CH-AI,CH-AR,CH-SG,CH-SH,CH-ZH"
CH-TI,"46.3352,8.7526","[45.818, 46.6325, 8.382, 9.1597]",,352.31,"CH-BE,CH-GR,CH-UR,CH-VS"
CH-UR,"46.7864,8.642","[46.5276, 46.9934, 8.3974, 8.9578]",,221.31,"CH-BE,CH-GL,CH-GR,CH-LU,CH-NW,CH-OW,CH-SG,CH-SZ,CH-TI,CH-VS"
CH-VD,"46.6357,6.5321","[46.1871, 46.9869, 6.0639, 7.2492]",,577.35,"CH-BE,CH-FR,CH-GE,CH-NE,CH-VS"
CH-VS,"46.2303,7.6606","[45.8583, 46.6541, 6.7706, 8.4786]",,536.47,"CH-BE,CH-FR,CH-TI,CH-UR,CH-VD"
CH-ZG,"47.1486,8.5539","[47.081, 47.2484, 8.3948, 8.7012]",,89.95,"CH-AG,CH-BE,CH-LU,CH-SZ,CH-ZH"
CH-ZH,"47.4133,8.6564","[47.1594, 47.6945, 8.3577, 8.9849]",,311.22,"CH-AG,CH-BE,CH-GL,CH-LU,CH-SG,CH-SH,CH-SZ,CH-TG,CH-ZG"
CI-AB,"5.4091,-4.0422","[5.2209, 5.6363, -4.2941, -3.7177]",,223.95,"CI-CM,CI-LG"
CI-BS,"5.3523,-6.6767","[4.3612, 6.5584, -7.5992, -5.4537]",,974.67,"CI-GD,CI-LC,CI-LG,CI-MG,CI-SM,CI-YM"
CI-CM,"6.0762,-3.3082","[5.0905, 7.3548, -3.8548, -2.7235]",,1013.15,"CI-AB,CI-LC,CI-LG,CI-ZZ"
CI-DN,"9.638,-7.39","[8.5086, 10.462, -8.1639, -6.5784]",,1027.84,"CI-SV,CI-WR"
CI-GD,"5.9536,-5.607","[5.1474, 6.6541, -6.4359, -4.9364]",,631.63,"CI-BS,CI-LC,CI-LG,CI-SM,CI-YM"
CI-LC,"7.0524,-4.4419","[6.1815, 8.0513, -5.6696, -3.5021]",,1030.47,"CI-BS,CI-CM,CI-GD,CI-LG,CI-SM,CI-VB,CI-WR,CI-YM,CI-ZZ"
CI-LG,"5.8452,-4.2931","[5.0964, 6.6495, -5.4572, -3.3174]",,1037.37,"CI-AB,CI-BS,CI-CM,CI-GD,CI-LC,CI-SM,CI-YM"
CI-MG,"6.9418,-7.6542","[5.6392, 8.157, -8.6015, -6.9715]",,1198.69,"CI-BS,CI-SM,CI-WR"
CI-SM,"7.0552,-6.3369","[6.2477, 7.8061, -7.0913, -5.3983]",,787.85,"CI-BS,CI-GD,CI-LC,CI-LG,CI-MG,CI-VB,CI-WR,CI-YM"
CI-SV,"9.5653,-5.5594","[8.5335, 10.7402, -6.9591, -3.7776]",,1850.96,"CI-DN,CI-VB,CI-WR,CI-ZZ"
CI-VB,"8.2703,-4.9452","[7.2334, 9.4245, -5.7373, -3.9006]",,1184.42,"CI-LC,CI-SM,CI-SV,CI-WR,CI-ZZ"
CI-WR,"8.3713,-6.7463","[7.6363, 9.2157, -8.2438, -5.3357]",,1454.04,"CI-DN,CI-LC,CI-MG,CI-SM,CI-SV,CI-VB"
CI-YM,"6.8691,-5.2823","[6.5542, 7.0968, -5.5281, -5.0037]",,212.18,"CI-BS,CI-GD,CI-LC,CI-LG,CI-SM"
CI-ZZ,"8.6703,-3.3447","[7.0592, 9.9585, -4.3129, -2.4929]",,1243.68,"CI-CM,CI-LC,CI-SV,CI-VB"
CL-AI,"-46.4712,-73.5207","[-49.2115, -43.586, -75.7068, -71.0914]",,2418.81,"CL-LL,CL-MA"
CL-AN,"-23.6041,-69.0843","[-26.0611, -20.9344, -70.7371, -66.9905]",,2215.05,"CL-AT,CL-TA"
CL-AP,"-18.5713,-69.7885","[-19.229, -17.4984, -70.3779, -68.9114]",,811.89,CL-TA
CL-AR,"-38.6679,-72.261","[-39.6372, -37.5818, -73.5191, -70.8265]",,1160.54,"CL-BI,CL-LR"
CL-AT,"-27.5572,-70.0157","[-29.5347, -25.2868, -71.5925, -68.2632]",,1992.25,"CL-AN,CL-CO,CL-VS"
CL-BI,"-37.3391,-72.4107","[-38.4927, -36.4427, -73.9609, -70.9831]",,1711.55,"CL-AR,CL-ML,CL-NB"
CL-CO,"-30.7547,-70.9006","[-32.2822, -29.0366, -71.7156, -69.8091]",,1619.25,"CL-AT,CL-VS"
CL-LI,"-34.5345,-71.0355","[-35.0059, -33.8507, -72.0559, -70.0097]",,797.41,"CL-ML,CL-RM,CL-VS"
CL-LL,"-42.3008,-73.1054","[-44.0658, -40.2372, -74.848, -71.5808]",,1950.56,"CL-AI,CL-LR"
CL-LR,"-39.9743,-72.6677","[-40.6809, -39.2873, -73.7251, -71.5927]",,840.23,"CL-AR,CL-LL"
CL-MA,"-53.3528,-71.5548","[-56.5383, -48.5822, -75.7447, -66.416]",,2849.46,CL-AI
CL-ML,"-35.5972,-71.4887","[-36.5436, -34.6845, -72.7864, -70.3076]",,1113.28,"CL-BI,CL-LI,CL-NB"
CL-NB,"-36.6332,-71.9385","[-37.1972, -36.0054, -72.8849, -71.0068]",,873.21,"CL-BI,CL-ML"
CL-RM,"-33.5739,-70.6206","[-34.2917, -32.9222, -71.7149, -69.7702]",,878.59,"CL-LI,CL-VS"
CL-TA,"-20.1637,-69.5463","[-21.6277, -18.9366, -70.2862, -68.4048]",,1241.27,"CL-AN,CL-AP"
CL-VS,"-32.5976,-70.853","[-33.9562, -26.2733, -109.4549, -69.9892]",,1345.9,"CL-AT,CL-CO,CL-LI,CL-RM"
CM-AD,"6.8497,13.2163","[5.9748, 8.1914, 11.1826, 15.2336]",,1747.95,"CM-CE,CM-ES,CM-NO,CM-NW,CM-OU"
CM-CE,"4.6863,11.9415","[3.1046, 6.2634, 10.2308, 13.247]",,1844.1,"CM-AD,CM-ES,CM-LT,CM-NW,CM-OU,CM-SU"
CM-EN,"10.6377,14.2738","[9.9335, 13.0833, 13.412, 15.6891]",,1493.86,CM-NO
CM-ES,"3.9894,14.1784","[1.6518, 6.0675, 12.4941, 16.1911]",,2173.33,"CM-AD,CM-CE,CM-SU"
CM-LT,"4.203,10.0563","[3.1879, 5.335, 9.2052, 11.0776]",,1151.44,"CM-CE,CM-OU,CM-SU,CM-SW"
CM-NO,"8.7713,13.7804","[7.0147, 10.2595, 12.2438, 15.5914]",,1681.6,"CM-AD,CM-EN"
CM-NW,"6.3775,10.3864","[5.7044, 7.1622, 9.5904, 11.2104]",,780.93,"CM-AD,CM-CE,CM-OU,CM-SW"
CM-OU,"5.5356,10.5829","[4.8073, 6.2644, 9.8316, 11.3154]",,849.2,"CM-AD,CM-CE,CM-LT,CM-NW,CM-SW"
CM-SU,"2.7312,11.6255","[2.1432, 3.683, 9.5893, 13.6798]",,1598.76,"CM-CE,CM-ES,CM-LT"
CM-SW,"5.0578,9.2289","[3.7437, 6.5309, 8.3822, 10.1016]",,1081.82,"CM-LT,CM-NW,CM-OU"
CN-AH,"32.0,117.0","[29.3952, 34.6526, 114.8762, 119.6453]",,4320.58,"CN-HA,CN-HB,CN-JS,CN-JX,CN-SD,CN-SH,CN-ZJ"
CN-BJ,"40.1906,116.4121","[39.1707, 41.0596, 115.4172, 117.7371]",,1172.7,"CN-HE,CN-NM,CN-TJ"
CN-CQ,"30.0552,107.8749","[28.1617, 32.2037, 105.2868, 110.1944]",,3479.52,"CN-GZ,CN-HB,CN-HN,CN-SC,CN-SN,CN-YN"
CN-FJ,"26.1932,118.2209","[23.1648, 28.3205, 115.8473, 121.2146]",,2540.28,"CN-GD,CN-JX,CN-ZJ"
CN-GD,"23.1358,113.1983","[20.1198, 25.52, 109.3917, 117.532]",,3593.7,"CN-FJ,CN-GX,CN-GZ,CN-HI,CN-HK,CN-HN,CN-JX,CN-MO,CN-TW"
CN-GS,"38.0,102.0","[32.5987, 42.7946, 92.3387, 108.7105]",,8632.5,"CN-HB,CN-NM,CN-NX,CN-QH,CN-SC,CN-SN,CN-XJ,CN-XZ"
CN-GX,"24.0,109.0","[20.8141, 26.3879, 104.4482, 112.0564]",,4374.28,"CN-GD,CN-GZ,CN-HN,CN-SC,CN-YN"
CN-GZ,"27.0,107.0","[24.6207, 29.2244, 103.6, 109.594]",,4212.08,"CN-CQ,CN-GD,CN-GX,CN-HB,CN-HN,CN-SC,CN-YN"
CN-HA,"34.0,114.0","[31.3845, 36.3668, 110.3551, 116.6456]",,4143.48,"CN-AH,CN-HB,CN-HE,CN-JS,CN-SD,CN-SN,CN-SX"
CN-HB,"31.0,112.0","[29.0329, 33.2728, 108.3626, 116.1322]",,4121.06,"CN-AH,CN-CQ,CN-GS,CN-GZ,CN-HA,CN-HN,CN-JX,CN-SC,CN-SN"
CN-HE,"39.0,116.0","[36.0484, 42.6176, 113.4565, 119.9528]",,5755.66,"CN-BJ,CN-HA,CN-LN,CN-NM,CN-SD,CN-SX,CN-TJ"
CN-HI,"19.2,109.6","[8.665, 20.288, 108.3882, 118.0551]",,3459.92,CN-GD
CN-HK,"22.2793,114.1629","[22.1367, 22.5683, 113.8172, 114.5025]",,223.41,"CN-GD,CN-TW"
CN-HL,"48.0,128.0","[43.4232, 53.5608, 121.1841, 134.7755]",,6237.59,"CN-JL,CN-LN,CN-NM"
CN-HN,"27.6662,111.7487","[24.6402, 30.1284, 108.7861, 114.256]",,3995.54,"CN-CQ,CN-GD,CN-GX,CN-GZ,CN-HB,CN-JX"
CN-JL,"43.729,126.1997","[40.8618, 46.303, 121.6357, 131.3114]",,4355.87,"CN-HL,CN-LN,CN-NM"
CN-JS,"33.0,120.0","[30.7603, 35.1667, 116.3552, 122.3867]",,3653.06,"CN-AH,CN-HA,CN-SD,CN-SH,CN-ZJ"
CN-JX,"28.0,116.0","[24.4888, 30.08, 113.5749, 118.4822]",,3483.09,"CN-AH,CN-FJ,CN-GD,CN-HB,CN-HN,CN-ZJ"
CN-LN,"41.2374,122.9955","[38.3719, 43.4889, 118.8399, 125.7852]",,3216.69,"CN-HE,CN-HL,CN-JL,CN-NM,CN-SD"
CN-MO,"22.1758,113.5514","[22.0767, 22.217, 113.5282, 113.6301]",,51.83,CN-GD
CN-NM,"43.2443,114.3252","[37.4067, 53.3341, 97.2695, 125.3273]",,12490.54,"CN-BJ,CN-GS,CN-HE,CN-HL,CN-JL,CN-LN,CN-NX,CN-QH,CN-SD,CN-SN,CN-SX,CN-TJ"
CN-NX,"37.0,106.0","[35.2388, 39.3818, 104.2842, 107.6525]",,2168.26,"CN-GS,CN-NM,CN-SN"
CN-QH,"36.0,96.0","[31.6018, 39.2142, 89.4022, 103.0694]",,6475.81,"CN-GS,CN-NM,CN-SC,CN-XJ,CN-XZ"
CN-SC,"30.5,102.5","[26.0482, 34.3147, 97.3474, 108.5427]",,7203.2,"CN-CQ,CN-GS,CN-GX,CN-GZ,CN-HB,CN-QH,CN-SN,CN-XZ,CN-YN"
CN-SD,"36.399,118.5056","[34.3786, 38.6014, 114.8169, 122.9568]",,3309.16,"CN-AH,CN-HA,CN-HE,CN-JS,CN-LN,CN-NM,CN-TJ"
CN-SH,"31.2313,121.47","[30.6693, 33.4431, 118.6002, 123.3342]",,1093.16,"CN-AH,CN-JS,CN-ZJ"
CN-SN,"35.5896,109.3013","[31.7067, 39.5849, 105.4873, 111.2425]",,4303.93,"CN-CQ,CN-GS,CN-HA,CN-HB,CN-NM,CN-NX,CN-SC,CN-SX"
CN-SX,"37.0,112.0","[34.5841, 40.745, 110.2195, 114.5629]",,2795.29,"CN-HA,CN-HE,CN-NM,CN-SN,CN-TJ"
CN-TJ,"39.3033,117.4164","[36.5714, 40.252, 113.7283, 118.0587]",,1042.42,"CN-BJ,CN-HE,CN-NM,CN-SD,CN-SX"
CN-TW,"22.3694,114.1085","[22.3693, 22.3695, 114.1084, 114.1087]",,0.1,"CN-GD,CN-HK"
CN-XJ,"42.4805,85.4633","[34.3341, 49.1781, 73.4997, 96.3874]",,8810.18,"CN-GS,CN-QH,CN-XZ"
CN-XZ,"29.8556,90.875","[27.2129, 36.4841, 78.3923, 99.1155]",,8560.66,"CN-GS,CN-QH,CN-SC,CN-XJ,CN-YN"
CN-YN,"25.0,102.0","[21.1431, 29.2257, 97.5275, 106.1968]",,7086.85,"CN-CQ,CN-GX,CN-GZ,CN-SC,CN-XZ"
CN-ZJ,"29.0,120.0","[27.0449, 31.1826, 118.0224, 123.3936]",,2576.2,"CN-AH,CN-FJ,CN-JS,CN-JX,CN-SH"
CO-AMA,"-1.3053,-71.4659","[-4.2281, 0.0982, -74.3959, -69.3953]",,2781.95,"CO-CAQ,CO-PUT,CO-VAU"
CO-ANT,"7.0,-75.5","[5.4186, 8.8893, -77.1271, -73.8796]",,2391.65,"CO-BOL,CO-BOY,CO-CAL,CO-CES,CO-CHO,CO-COR,CO-CUN,CO-RIS,CO-SAN,CO-SUC"
CO-ARA,"6.6667,-71.0","[6.0384, 7.1042, -72.3683, -69.4362]",,992.93,"CO-BOY,CO-CAS,CO-NSA,CO-VID"
CO-ATL,"10.6773,-74.9719","[10.2551, 11.1066, -75.2496, -74.723]",,282.17,"CO-BOL,CO-MAG"
CO-BOL,"9.366,-74.8024","[6.9993, 10.8011, -76.1905, -73.7478]",,1730.33,"CO-ANT,CO-ATL,CO-BOY,CO-CES,CO-CHO,CO-COR,CO-MAG,CO-SAN,CO-SUC"
CO-BOY,"5.6279,-72.8269","[4.6558, 7.0548, -74.6593, -71.9433]",,1640.98,"CO-ANT,CO-ARA,CO-BOL,CO-CAL,CO-CAS,CO-CUN,CO-DC,CO-MET,CO-NSA,CO-SAN,CO-TOL"
CO-CAL,"5.3303,-75.2873","[4.8025, 5.7829, -75.9227, -74.6246]",,737.09,"CO-ANT,CO-BOY,CO-CUN,CO-MET,CO-RIS,CO-TOL,CO-VAC"
CO-CAQ,"1.1153,-74.1057","[-0.7066, 2.9332, -76.3058, -71.2531]",,2193.94,"CO-AMA,CO-CAU,CO-GUV,CO-HUI,CO-MET,CO-PUT,CO-TOL,CO-VAU"
CO-CAS,"5.5,-71.5","[4.286, 6.3072, -73.0742, -69.8199]",,1304.98,"CO-ARA,CO-BOY,CO-CUN,CO-MET,CO-SAN,CO-VID"
CO-CAU,"2.7156,-76.6627","[0.9586, 3.3291, -77.928, -75.7475]",,1513.62,"CO-CAQ,CO-HUI,CO-NAR,CO-PUT,CO-TOL,CO-VAC"
CO-CES,"9.3333,-73.5","[7.6764, 10.8676, -74.1398, -72.8858]",,1237.05,"CO-ANT,CO-BOL,CO-LAG,CO-MAG,CO-NSA,CO-SAN"
CO-CHO,"6.0,-77.0","[3.9645, 8.6774, -77.8935, -76.0026]",,2294.87,"CO-ANT,CO-BOL,CO-COR,CO-RIS,CO-TOL,CO-VAC"
CO-COR,"8.3345,-75.6666","[7.3572, 9.4487, -76.5152, -74.7851]",,980.98,"CO-ANT,CO-BOL,CO-CHO,CO-MAG,CO-SUC"
CO-CUN,"5.1097,-74.0996","[3.7296, 5.8367, -74.8905, -73.0508]",,1416.38,"CO-ANT,CO-BOY,CO-CAL,CO-CAS,CO-DC,CO-HUI,CO-MET,CO-SAN,CO-TOL"
CO-DC,"4.6534,-74.0836","[3.7301, 4.837, -74.451, -73.9859]",,434.27,"CO-BOY,CO-CUN,CO-HUI,CO-MET"
CO-GUA,"2.5,-69.0","[1.167, 4.0468, -70.9425, -66.8511]",,2271.35,"CO-GUV,CO-VAU,CO-VID"
CO-GUV,"1.7899,-72.3762","[0.655, 2.9248, -73.6612, -69.9945]",,2028.54,"CO-CAQ,CO-GUA,CO-MET,CO-VAU,CO-VID"
CO-HUI,"2.4739,-75.59","[1.5555, 3.8448, -76.6243, -74.4117]",,1087.07,"CO-CAQ,CO-CAU,CO-CUN,CO-DC,CO-MET,CO-TOL,CO-VAC"
CO-LAG,"11.4354,-72.9002","[10.3967, 12.4585, -73.6646, -71.1133]",,1133.23,"CO-CES,CO-MAG"
CO-MAG,"10.5808,-74.0686","[8.9171, 11.3491, -74.9456, -73.542]",,1129.97,"CO-ATL,CO-BOL,CO-CES,CO-COR,CO-LAG,CO-NSA,CO-SUC"
CO-MET,"3.5,-73.0","[1.6013, 4.9251, -74.9339, -71.0774]",,1980.36,"CO-BOY,CO-CAL,CO-CAQ,CO-CAS,CO-CUN,CO-DC,CO-GUV,CO-HUI,CO-TOL,CO-VAU,CO-VID"
CO-NAR,"1.5842,-77.8586","[0.3609, 2.6835, -79.0107, -76.8337]",,1357.13,"CO-CAU,CO-PUT"
CO-NSA,"8.4418,-73.0493","[6.8731, 9.2913, -73.6374, -72.0497]",,1152.12,"CO-ARA,CO-BOY,CO-CES,CO-MAG,CO-SAN"
CO-PUT,"0.5,-76.0","[-0.5531, 1.4678, -77.1868, -73.8413]",,1395.14,"CO-AMA,CO-CAQ,CO-CAU,CO-NAR"
CO-QUI,"4.4028,-75.7026","[4.0752, 4.7214, -75.8959, -75.3827]",,291.07,"CO-RIS,CO-TOL,CO-VAC"
CO-RIS,"5.2103,-75.9842","[4.6646, 5.568, -76.2115, -75.3755]",,533.43,"CO-ANT,CO-CAL,CO-CHO,CO-QUI,CO-TOL,CO-VAC"
CO-SAN,"7.0,-73.25","[5.7067, 8.1434, -74.5267, -72.4765]",,1225.89,"CO-ANT,CO-BOL,CO-BOY,CO-CAS,CO-CES,CO-CUN,CO-NSA"
CO-SAP,"13.3531,-81.375","[12.4803, 13.3945, -81.7357, -81.3491]",,70.11,
CO-SUC,"9.0,-75.0","[8.276, 10.1485, -75.7038, -74.5329]",,835.77,"CO-ANT,CO-BOL,CO-COR,CO-MAG"
CO-TOL,"4.0356,-75.2087","[2.8705, 5.3195, -76.1064, -74.4747]",,1078.07,"CO-BOY,CO-CAL,CO-CAQ,CO-CAU,CO-CHO,CO-CUN,CO-HUI,CO-MET,CO-QUI,CO-RIS,CO-VAC"
CO-VAC,"3.6984,-76.5502","[3.0908, 5.0475, -81.6166, -75.7072]",,1583.43,"CO-CAL,CO-CAU,CO-CHO,CO-HUI,CO-QUI,CO-RIS,CO-TOL"
CO-VAU,"0.4228,-70.9468","[-1.2277, 2.0803, -72.0329, -69.1156]",,2239.85,"CO-AMA,CO-CAQ,CO-GUA,CO-GUV,CO-MET"
CO-VID,"4.8687,-69.3737","[2.7368, 6.3288, -71.0778, -67.4084]",,1903.12,"CO-ARA,CO-CAS,CO-GUA,CO-GUV,CO-MET"
CR-A,"10.4523,-84.4663","[9.8401, 11.0844, -85.4467, -84.1611]",,625.46,"CR-G,CR-H,CR-P,CR-SJ"
CR-C,"9.8157,-83.6944","[9.4843, 10.1472, -84.0881, -83.3156]",,332.21,"CR-H,CR-L,CR-P,CR-SJ"
CR-G,"10.3788,-85.4338","[9.5378, 11.2196, -86.1839, -84.7662]",,721.9,"CR-A,CR-P"
CR-H,"10.3768,-84.014","[9.9593, 10.7924, -84.2002, -83.7107]",,312.72,"CR-A,CR-C,CR-L,CR-P,CR-SJ"
CR-L,"10.0999,-83.3432","[9.0752, 11.1249, -83.9475, -82.4299]",,802.22,"CR-C,CR-H,CR-P,CR-SJ"
CR-P,"9.0953,-84.2003","[5.4992, 10.3374, -87.102, -82.7118]",,1370.92,"CR-A,CR-C,CR-G,CR-H,CR-L,CR-SJ"
CR-SJ,"9.6314,-84.0671","[9.0749, 10.1879, -84.5927, -83.4294]",,647.66,"CR-A,CR-C,CR-H,CR-L,CR-P"
CU-01,"22.3124,-83.9389","[21.4691, 23.147, -85.168, -82.9261]",,704.68,"CU-15,CU-99"
CU-03,"23.1598,-82.3385","[22.9337, 23.3858, -82.6073, -82.0814]",,243.4,"CU-04,CU-15,CU-16"
CU-04,"22.4546,-81.4962","[21.4272, 23.4817, -82.1774, -80.408]",,936.9,"CU-03,CU-05,CU-06,CU-16,CU-99"
CU-05,"22.7036,-79.6945","[21.9513, 23.4376, -80.7566, -78.8218]",,791.23,"CU-04,CU-06,CU-07,CU-08,CU-09"
CU-06,"22.0053,-80.3196","[21.4151, 22.5855, -80.943, -80.0265]",,508.1,"CU-04,CU-05,CU-07"
CU-07,"21.7261,-79.6133","[20.9843, 22.4801, -80.2229, -78.9243]",,671.72,"CU-05,CU-06,CU-08,CU-09"
CU-08,"21.7477,-78.7296","[20.6129, 22.8822, -79.6143, -77.934]",,816.05,"CU-05,CU-07,CU-09,CU-12"
CU-09,"21.3109,-77.9429","[20.124, 22.495, -79.0412, -76.7738]",,927.38,"CU-05,CU-07,CU-08,CU-10,CU-12,CU-13"
CU-10,"21.0887,-76.8122","[20.4752, 21.7018, -77.8341, -76.2047]",,639.89,"CU-09,CU-11,CU-12,CU-13"
CU-11,"20.9116,-75.7892","[20.3836, 21.441, -76.7316, -74.5667]",,762.02,"CU-10,CU-12,CU-13,CU-14"
CU-12,"20.1948,-77.2936","[19.6275, 20.7611, -78.2649, -76.1972]",,677.4,"CU-08,CU-09,CU-10,CU-11,CU-13"
CU-13,"20.1209,-75.924","[19.6759, 20.566, -77.0622, -75.3771]",,691.43,"CU-09,CU-10,CU-11,CU-12,CU-14"
CU-14,"20.2106,-74.6938","[19.6759, 20.7455, -75.4929, -73.919]",,571.24,"CU-11,CU-13"
CU-15,"22.8273,-82.9259","[22.3455, 23.308, -83.4492, -82.3953]",,447.54,"CU-01,CU-03,CU-16,CU-99"
CU-16,"22.8254,-82.0701","[22.2344, 23.4159, -82.469, -81.5809]",,492.09,"CU-03,CU-04,CU-15,CU-99"
CU-99,"21.9841,-82.4119","[21.2376, 22.3477, -83.5662, -81.1005]",,617.41,"CU-01,CU-04,CU-15,CU-16"
CV-B,"17.0555,-25.1723","[15.8032, 17.2053, -25.3609, -22.6582]",,702.87,"CV-BV,CV-PA,CV-PN,CV-RB,CV-RG,CV-SL,CV-SV,CV-TS"
CV-BR,"14.8519,-24.7087","[14.8032, 14.9841, -24.749, -24.6284]",,82.19,CV-S
CV-BV,"16.0995,-22.8009","[15.9678, 16.2309, -22.966, -22.6673]",,132.65,CV-B
CV-CA,"15.0891,-23.7134","[14.9734, 15.2047, -23.7816, -23.6137]",,102,"CV-CR,CV-RS,CV-S,CV-SD,CV-SM,CV-SO,CV-SS,CV-TA"
CV-CF,"14.9023,-24.3213","[14.8123, 14.9922, -24.3954, -24.2779]",,67.31,"CV-MO,CV-S,CV-SF"
CV-CR,"15.1128,-23.5518","[15.0468, 15.1786, -23.6248, -23.4857]",,62.1,"CV-CA,CV-RS,CV-S,CV-SD,CV-SM,CV-SO,CV-SS"
CV-MA,"15.2272,-23.1563","[15.1166, 15.3378, -23.2343, -23.0877]",,89.52,CV-S
CV-MO,"15.0001,-24.3374","[14.9483, 15.052, -24.4029, -24.2865]",,41.56,"CV-CF,CV-S,CV-SF"
CV-PA,"17.115,-25.0202","[17.0668, 17.1632, -25.0678, -24.963]",,39.22,"CV-B,CV-PN,CV-RG"
CV-PN,"17.0175,-25.2004","[16.9057, 17.1292, -25.3609, -24.9819]",,129.77,"CV-B,CV-PA,CV-RG,CV-SV"
CV-PR,"14.9481,-23.5159","[14.8999, 14.9963, -23.5885, -23.4541]",,65.71,"CV-RS,CV-S,CV-SD"
CV-RB,"16.5806,-24.0887","[16.4793, 16.6817, -24.3585, -24.008]",,142.51,"CV-B,CV-TS"
CV-RG,"17.1391,-25.1369","[17.0729, 17.2053, -25.2316, -25.0159]",,71.36,"CV-B,CV-PA,CV-PN"
CV-RS,"14.9844,-23.6547","[14.9065, 15.063, -23.7079, -23.5564]",,68.42,"CV-CA,CV-CR,CV-PR,CV-S,CV-SD,CV-SO,CV-SS"
CV-S,"15.1201,-23.6348","[14.8032, 15.3402, -24.749, -23.0877]",,550.19,"CV-BR,CV-CA,CV-CF,CV-CR,CV-MA,CV-MO,CV-PR,CV-RS,CV-SD,CV-SF,CV-SM,CV-SO,CV-SS,CV-TA"
CV-SD,"15.0305,-23.5309","[14.9728, 15.0881, -23.6253, -23.4283]",,85.77,"CV-CA,CV-CR,CV-PR,CV-RS,CV-S,CV-SO,CV-SS"
CV-SF,"14.9214,-24.442","[14.8139, 15.0288, -24.5045, -24.3613]",,73.37,"CV-CF,CV-MO,CV-S"
CV-SL,"16.7205,-22.9387","[16.585, 16.8557, -22.9943, -22.8724]",,103.28,CV-B
CV-SM,"15.19,-23.642","[15.1316, 15.2484, -23.6904, -23.5819]",,52.39,"CV-CA,CV-CR,CV-S,CV-TA"
CV-SO,"15.0709,-23.5865","[15.0365, 15.1038, -23.6367, -23.5547]",,27,"CV-CA,CV-CR,CV-RS,CV-S,CV-SD,CV-SS"
CV-SS,"15.0917,-23.6317","[15.0581, 15.1184, -23.6569, -23.5924]",,22.05,"CV-CA,CV-CR,CV-RS,CV-S,CV-SD,CV-SO"
CV-SV,"16.8494,-24.9719","[16.7766, 16.9223, -25.086, -24.8587]",,98.22,"CV-B,CV-PN"
CV-TA,"15.2665,-23.7227","[15.1927, 15.3402, -23.7743, -23.6559]",,80.86,"CV-CA,CV-S,CV-SM"
CV-TS,"16.5754,-24.3342","[16.4792, 16.8062, -24.791, -24.3006]",,125.84,"CV-B,CV-RB"
CY-01,"35.045,33.0511","[34.8882, 35.2018, 32.5671, 33.5193]",,357.47,"CY-02,CY-03,CY-05"
CY-02,"34.7977,32.9849","[34.6323, 34.9632, 32.6354, 33.2775]",,249.91,"CY-01,CY-03,CY-05"
CY-03,"34.8988,33.4531","[34.715, 35.0825, 33.1271, 33.9023]",,280.03,"CY-01,CY-02,CY-04"
CY-04,"35.0185,33.9399","[34.9561, 35.0813, 33.792, 34.0876]",,101.23,CY-03
CY-05,"34.9171,32.4972","[34.6581, 35.176, 32.2692, 32.7969]",,271.22,"CY-01,CY-02"
CY-06,"35.2991,33.2542","[35.2321, 35.4053, 32.9194, 33.6708]",,240.38,
CZ-10,"50.0596,14.4465","[49.9419, 50.1774, 14.2244, 14.7068]",,161.14,"CZ-20,CZ-202,CZ-203,CZ-209,CZ-20A,CZ-42"
