subdivisionCode,latLng
CO-VAU,"0.4228,-70.9468"
CO-VID,"4.8687,-69.3737"
CR-A,"10.4523,-84.4663"
CR-C,"9.8157,-83.6944"
CR-G,"10.3788,-85.4338"
CR-H,"10.3768,-84.014"
CR-L,"10.0999,-83.3432"
CR-P,"9.0953,-84.2003"
CR-SJ,"9.6314,-84.0671"
CU-01,"22.3124,-83.9389"
CU-03,"23.1598,-82.3385"
CU-04,"22.4546,-81.4962"
CU-05,"22.7036,-79.6945"
CU-06,"22.0053,-80.3196"
CU-07,"21.7261,-79.6133"
CU-08,"21.7477,-78.7296"
CU-09,"21.3109,-77.9429"
CU-10,"21.0887,-76.8122"
CU-11,"20.9116,-75.7892"
CU-12,"20.1948,-77.2936"
CU-13,"20.1209,-75.924"
CU-14,"20.2106,-74.6938"
CU-15,"22.8273,-82.9259"
CU-16,"22.8254,-82.0701"
CU-99,"21.9841,-82.4119"
CV-B,"17.0555,-25.1723"
CV-BR,"14.8519,-24.7087"
CV-BV,"16.0995,-22.8009"
CV-CA,"15.0891,-23.7134"
CV-CF,"14.9023,-24.3213"
CV-CR,"15.1128,-23.5518"
CV-MA,"15.2272,-23.1563"
CV-MO,"15.0001,-24.3374"
CV-PA,"17.115,-25.0202"
CV-PN,"17.0175,-25.2004"
CV-PR,"14.9481,-23.5159"
CV-RB,"16.5806,-24.0887"
CV-RG,"17.1391,-25.1369"
CV-RS,"14.9844,-23.6547"
CV-S,"15.1201,-23.6348"
CV-SD,"15.0305,-23.5309"
CV-SF,"14.9214,-24.442"
CV-SL,"16.7205,-22.9387"
CV-SM,"15.19,-23.642"
CV-SO,"15.0709,-23.5865"
CV-SS,"15.0917,-23.6317"
CV-SV,"16.8494,-24.9719"
CV-TA,"15.2665,-23.7227"
CV-TS,"16.5754,-24.3342"
CY-01,"35.045,33.0511"
CY-02,"34.7977,32.9849"
CY-03,"34.8988,33.4531"
CY-04,"35.0185,33.9399"
CY-05,"34.9171,32.4972"
CY-06,"35.2991,33.2542"
CZ-10,"50.0596,14.4465"
CZ-20,"50.0602,13.8307"
CZ-201,"49.7078,14.8156"
CZ-202,"49.8818,14.014"
CZ-203,"50.1899,14.1157"
CZ-204,"50.0195,15.089"
CZ-205,"49.8641,15.2112"
CZ-206,"50.3582,14.5534"
CZ-207,"50.4014,14.9296"
CZ-208,"50.2159,15.0848"
CZ-209,"50.0828,14.7192"
CZ-20A,"49.9984,14.2634"
CZ-20B,"49.6934,14.1749"
CZ-20C,"50.0953,13.6476"
CZ-31,"49.0865,14.6002"
CZ-311,"49.0026,14.4571"
CZ-312,"48.776,14.2911"
CZ-313,"49.0344,15.1042"
CZ-314,"49.3623,14.2158"
CZ-315,"48.9533,13.8884"
CZ-316,"49.3081,13.8772"
CZ-317,"49.3653,14.6868"
CZ-32,"49.5228,13.2063"
CZ-321,"49.4663,12.9015"
CZ-322,"49.2397,13.3982"
CZ-323,"49.7139,13.4236"
CZ-324,"49.5522,13.4343"
CZ-325,"49.8814,13.2813"
CZ-326,"49.8002,13.6475"
CZ-327,"49.7629,12.747"
CZ-41,"50.1754,12.8061"
CZ-411,"50.1067,12.3648"
CZ-412,"50.2135,13.0016"
CZ-413,"50.2265,12.6304"
CZ-42,"50.5663,13.8207"
CZ-421,"50.8495,14.3981"
CZ-422,"50.4194,13.2684"
CZ-423,"50.497,14.1625"
CZ-424,"50.2863,13.6714"
CZ-425,"50.5627,13.5806"
CZ-426,"50.605,13.7912"
CZ-427,"50.6957,14.0392"
CZ-51,"50.7476,14.9903"
CZ-511,"50.6648,14.6294"
CZ-512,"50.7361,15.2397"
CZ-513,"50.7929,14.9084"
CZ-514,"50.6354,15.4355"
CZ-52,"50.4094,15.685"
CZ-521,"50.2243,15.7206"
CZ-522,"50.4112,15.4309"
CZ-523,"50.4809,16.165"
CZ-524,"50.2107,16.3067"
CZ-525,"50.56,15.8663"
CZ-53,"49.8898,16.1283"
CZ-531,"49.843,15.8303"
CZ-532,"50.0565,15.7557"
CZ-533,"49.7686,16.4738"
CZ-534,"50.0132,16.4279"
CZ-63,"49.3994,15.5705"
CZ-631,"49.6648,15.55"
CZ-632,"49.3133,15.5328"
CZ-633,"49.4233,15.1477"
CZ-634,"49.1474,15.9466"
CZ-635,"49.4904,16.0803"
CZ-64,"49.1249,16.6828"
CZ-641,"49.458,16.6236"
CZ-642,"49.2021,16.5827"
CZ-643,"49.1762,16.3882"
CZ-644,"48.8392,16.6926"
CZ-645,"48.9638,17.1761"
CZ-646,"49.2705,16.9836"
CZ-647,"48.9136,15.9779"
CZ-71,"49.8591,16.9561"
CZ-711,"50.2759,17.1809"
CZ-712,"49.6555,17.2803"
CZ-713,"49.4718,17.103"
CZ-714,"49.5016,17.5876"
CZ-715,"49.9751,16.9504"
CZ-72,"49.1969,17.6461"
CZ-721,"49.2682,17.3216"
CZ-722,"49.022,17.5934"
CZ-723,"49.3462,18.1002"
CZ-724,"49.1859,17.7027"
CZ-80,"49.8603,18.0387"
CZ-801,"50.059,17.4936"
CZ-802,"49.5763,18.5375"
CZ-803,"49.8259,18.468"
CZ-804,"49.6532,17.9788"
CZ-805,"49.8936,17.9488"
CZ-806,"49.8046,18.2343"
DE-BB,"52.8455,13.2461"
DE-BE,"52.5174,13.3951"
DE-BW,"48.5378,9.0412"
DE-BY,"48.9468,11.4039"
DE-HB,"53.1449,8.6932"
DE-HE,"50.6081,9.0285"
DE-HH,"53.5503,10.0007"
DE-MV,"53.7735,12.5755"
DE-NI,"52.8399,9.076"
DE-NW,"51.4789,7.5544"
DE-RP,"49.9532,7.3106"
DE-SH,"54.1854,9.822"
DE-SL,"49.3842,6.9537"
DE-SN,"50.9296,13.4585"
DE-ST,"51.9281,11.6812"
DE-TH,"50.9015,11.0378"
DJ-AR,"11.4341,42.6204"
DJ-AS,"11.1631,42.8373"
DJ-DI,"11.4284,42.064"
DJ-DJ,"11.5937,43.1473"
DJ-OB,"12.2111,43.1686"
DJ-TA,"12.0358,42.5175"
DK-81,"56.8153,9.7273"
DK-82,"56.2356,9.2346"
DK-83,"55.3784,9.1318"
DK-84,"55.8616,12.3138"
DK-85,"55.4864,11.6913"
DM-02,"15.5447,-61.353"
DM-03,"15.4224,-61.2884"
DM-04,"15.3059,-61.3477"
DM-05,"15.5739,-61.437"
DM-06,"15.4451,-61.3833"
DM-07,"15.2526,-61.3607"
DM-08,"15.2285,-61.35"
DM-09,"15.277,-61.2965"
DM-10,"15.363,-61.3613"
DM-11,"15.4998,-61.4403"
DO-01,"18.4854,-69.93"
DO-02,"18.6257,-70.9046"
DO-03,"18.514,-71.3303"
DO-04,"18.1893,-71.2286"
DO-05,"19.4367,-71.5704"
DO-06,"19.2833,-70.188"
DO-07,"18.9685,-71.7184"
DO-08,"18.7854,-69.0197"
DO-09,"19.5108,-70.4919"
DO-10,"18.4156,-71.6357"
DO-11,"18.5881,-68.6053"
DO-12,"18.5257,-68.9666"
DO-13,"19.0311,-70.7274"
DO-14,"19.4433,-69.9991"
DO-15,"19.7178,-71.4448"
DO-16,"18.0372,-71.7442"
DO-17,"18.3515,-70.3695"
DO-18,"19.7225,-70.7208"
DO-19,"19.3958,-70.3841"
DO-20,"19.1781,-69.6511"
DO-21,"18.5187,-70.2175"
DO-22,"18.8832,-71.3076"
DO-23,"18.6079,-69.4885"
DO-24,"19.0038,-70.1489"
DO-25,"19.3364,-70.9521"
DO-26,"19.3691,-71.3524"
DO-27,"19.5956,-71.0304"
DO-28,"18.9235,-70.4157"
DO-29,"18.8382,-69.8366"
DO-30,"18.815,-69.3478"
DO-31,"18.6085,-70.5142"
DO-32,"18.5647,-69.856"
DO-33,"19.3381,-70.1284"
DO-34,"19.5403,-71.3038"
DO-35,"19.4761,-70.666"
DO-36,"19.0311,-70.4253"
DO-37,"18.9359,-71.3477"
DO-38,"18.1473,-71.4037"
DO-39,"18.7488,-69.6915"
DO-40,"18.5647,-69.856"
DO-41,"18.5981,-70.6521"
DO-42,"18.6231,-68.7544"
DZ-01,"26.4888,-1.3582"
DZ-02,"36.2034,1.2681"
DZ-03,"33.7504,2.6431"
DZ-04,"35.8106,7.0184"
DZ-05,"35.3384,5.7315"
DZ-06,"36.5569,4.7859"
DZ-07,"34.7846,5.8124"
DZ-08,"31.3857,-2.0116"
DZ-09,"36.5013,2.9518"
DZ-10,"36.2316,3.9083"
DZ-11,"24.3753,4.3208"
DZ-12,"35.1249,7.9012"
DZ-13,"34.6675,-1.2978"
DZ-14,"34.8948,1.5946"
DZ-15,"36.6816,4.2372"
DZ-16,"36.7001,3.0291"
DZ-17,"34.3428,3.2173"
DZ-18,"36.7292,5.9608"
DZ-19,"36.1057,5.562"
DZ-20,"34.7433,0.2441"
DZ-21,"36.7545,6.8856"
DZ-22,"34.6823,-0.4358"
DZ-23,"36.8438,7.5982"
DZ-24,"36.3492,7.4095"
DZ-25,"36.3584,6.6672"
DZ-26,"35.9752,3.0124"
DZ-27,"36.0027,0.3687"
DZ-28,"35.13,4.2003"
DZ-29,"35.3978,0.243"
DZ-30,"30.998,6.7665"
DZ-31,"35.6216,-0.7016"
DZ-32,"32.5703,1.126"
DZ-33,"27.8529,7.819"
DZ-34,"36.0962,4.6603"
DZ-35,"36.7358,3.6163"
DZ-36,"36.6714,8.0701"
DZ-37,"27.5439,-6.24"
DZ-38,"35.7859,1.8341"
DZ-39,"33.2154,7.1553"
DZ-40,"34.9133,6.9059"
DZ-41,"36.1379,7.8262"
DZ-42,"36.5272,2.1672"
DZ-43,"36.2502,6.1652"
DZ-44,"36.1587,2.0843"
DZ-45,"33.2337,-0.8152"
DZ-46,"35.3651,-0.9452"
DZ-47,"32.4408,3.5618"
DZ-48,"35.8363,0.9119"
DZ-49,"30.0245,0.8486"
DZ-50,"22.6261,0.1276"
DZ-51,"34.1049,4.8203"
DZ-52,"29.0832,-2.659"
DZ-53,"27.1977,3.5212"
DZ-54,"20.4275,4.6766"
DZ-55,"32.9825,6.2354"
DZ-56,"24.0715,9.6156"
DZ-57,"33.9581,5.7011"
DZ-58,"30.7072,3.0481"
EC-A,"-3.0524,-79.2395"
EC-B,"-1.5393,-79.0817"
EC-C,"0.8375,-78.2075"
EC-D,"-0.7862,-76.4803"
EC-E,"0.7344,-79.3859"
EC-F,"-2.5745,-78.9805"
EC-G,"-2.0,-80.0"
EC-H,"-1.9263,-78.7298"
EC-I,"0.3754,-78.3557"
EC-L,"-4.0529,-79.8053"
EC-M,"-0.7588,-80.0612"
EC-N,"-0.6082,-77.952"
EC-O,"-3.5311,-79.8333"
EC-P,"-0.0585,-78.3284"
EC-R,"-1.4941,-79.5542"
EC-S,"-2.6233,-78.0048"
EC-SD,"-0.3159,-79.2224"
EC-SE,"-2.1955,-80.5669"
EC-T,"-1.2766,-78.4755"
EC-U,"-0.0391,-76.512"
EC-W,"-0.0607,-90.6739"
EC-X,"-0.8269,-78.8938"
EC-Y,"-1.9167,-77.0"
EC-Z,"-4.062,-78.7752"
EE-130,"59.1508,27.4812"
EE-141,"59.2766,25.4483"
EE-142,"57.8177,26.54"
EE-171,"58.2335,26.2922"
EE-184,"58.8694,23.5838"
EE-191,"59.5098,26.1029"
EE-198,"59.3916,24.3963"
EE-205,"58.8902,22.7096"
EE-214,"58.1123,24.5633"
EE-245,"59.4549,25.1364"
EE-247,"58.7761,26.4776"
EE-251,"59.3882,27.7325"
EE-255,"58.9738,25.9605"
EE-272,"59.3747,26.0767"
EE-283,"58.2486,26.7363"
EE-284,"58.0535,26.7633"
EE-291,"58.3141,27.0588"
EE-293,"58.8427,24.9423"
EE-296,"59.3114,24.39"
EE-303,"58.1261,23.9853"
EE-305,"59.2971,24.84"
EE-317,"59.1529,24.7088"
EE-321,"59.3898,27.2316"
EE-338,"59.123,25.2411"
EE-353,"59.4733,25.5436"
EE-37,"59.409,24.737"
EE-39,"59.0088,22.4225"
EE-424,"59.5785,25.7173"
EE-430,"58.5539,23.9533"
EE-431,"59.2729,24.2585"
EE-432,"58.3918,26.9524"
EE-441,"58.9818,23.8746"
EE-442,"59.29,26.9386"
EE-446,"59.4655,24.9679"
EE-45,"59.2198,27.3905"
EE-478,"58.5959,23.2196"
EE-480,"58.1247,25.4253"
EE-486,"58.8502,26.8819"
EE-50,"58.771,26.5686"
EE-503,"58.8783,24.3697"
EE-511,"59.3579,28.1402"
EE-514,"59.3483,27.8673"
EE-52,"58.9381,25.7332"
EE-528,"58.242,26.5371"
EE-557,"58.0194,26.3619"
EE-56,"59.098,23.5716"
EE-567,"58.9543,25.6128"
EE-586,"58.5802,27.0302"
EE-60,"59.4076,26.31"
EE-615,"58.478,25.3195"
EE-618,"58.6549,26.0017"
EE-622,"58.0873,27.1085"
EE-624,"58.3764,24.0879"
EE-638,"58.6342,24.7611"
EE-64,"58.1695,27.1567"
EE-651,"59.3235,25.1296"
EE-653,"59.3322,24.9538"
EE-661,"59.3557,26.4778"
EE-663,"59.3448,26.3622"
EE-668,"58.9839,25.1544"
EE-68,"58.3195,24.3026"
EE-689,"57.8024,23.2432"
EE-698,"57.6724,26.8027"
EE-708,"58.1527,27.4067"
EE-71,"58.942,24.6984"
EE-712,"58.1509,24.8718"
EE-714,"58.2738,22.2771"
EE-719,"59.2806,24.6471"
EE-726,"59.2065,24.4418"
EE-732,"57.8984,27.6472"
EE-735,"59.3963,27.7626"
EE-74,"58.2057,22.4849"
EE-784,"59.425,24.7439"
EE-79,"58.4075,26.7347"
EE-792,"59.174,26.1128"
EE-793,"58.3956,26.6309"
EE-796,"58.5182,26.6181"
EE-803,"59.383,27.7452"
EE-809,"58.4851,24.7223"
EE-81,"57.8689,26.1049"
EE-824,"57.9967,25.8745"
EE-834,"58.8127,25.2905"
EE-84,"58.3229,25.5825"
EE-855,"57.7885,26.2349"
EE-87,"57.8133,26.9848"
EE-890,"59.5161,24.862"
EE-897,"58.3563,25.5851"
EE-899,"58.3378,25.7655"
EE-901,"59.164,26.6958"
EE-903,"59.4639,26.6787"
EE-907,"59.0045,23.2488"
EE-917,"57.8097,27.1792"
EE-919,"57.8356,27.0082"
EE-928,"59.0435,26.2597"
EG-ALX,"30.9433,29.7656"
EG-ASN,"23.4351,32.6139"
EG-AST,"27.2065,31.55"
EG-BA,"25.5664,34.0931"
EG-BH,"30.7915,30.3465"
EG-BNS,"28.8383,30.8545"
EG-C,"30.0333,31.5622"
EG-DK,"31.138,31.8882"
EG-DT,"31.4113,31.7557"
EG-FYM,"29.3407,30.6201"
EG-GH,"30.8392,31.0016"
EG-GZ,"29.054,29.4191"
EG-IS,"30.5963,32.3953"
EG-JS,"28.645,33.8711"
EG-KB,"30.3336,31.2214"
EG-KFS,"31.3815,30.8514"
EG-KN,"26.2408,32.9084"
EG-LX,"25.4928,32.8804"
EG-MN,"28.2125,30.9124"
EG-MNF,"30.437,30.7467"
EG-MT,"29.7876,27.427"
EG-PTS,"31.1821,32.3726"
EG-SHG,"26.7625,32.091"
EG-SHR,"30.6333,31.7894"
EG-SIN,"30.5043,33.591"
EG-SUZ,"29.4165,32.1491"
EG-WAD,"24.8767,28.7342"
ER-AN,"16.5,37.5"
ER-DK,"13.75,41.5"
ER-DU,"14.91,38.8151"
ER-GB,"15.25,37.5"
ER-MA,"15.3333,38.9167"
ER-SK,"16.0,39.0"
ES-A,"38.3657,-0.7486"
ES-AB,"38.7228,-1.9542"
ES-AL,"37.2983,-2.1885"
ES-AN,"37.34,-4.5812"
ES-AR,"41.3787,-0.7639"
ES-AS,"43.3134,-5.9419"
ES-AV,"40.6233,-4.8354"
ES-B,"41.7579,2.0312"
ES-BA,"38.6963,-6.221"
ES-BI,"43.2385,-2.8516"
ES-BU,"42.3247,-3.6765"
ES-C,"43.154,-8.5811"
ES-CA,"36.5262,-5.9008"
ES-CB,"43.1596,-4.0878"
ES-CC,"39.7592,-6.1379"
ES-CE,"35.8884,-5.3041"
ES-CL,"41.55,-5.1387"
ES-CM,"39.4178,-2.6232"
ES-CN,"28.2936,-16.6214"
ES-CO,"37.9567,-4.8477"
ES-CR,"38.9597,-3.8829"
ES-CS,"40.2519,-0.0615"
ES-CT,"41.8523,1.5745"
ES-CU,"39.9425,-2.1536"
ES-EX,"39.1748,-6.153"
ES-GA,"42.6195,-7.8631"
ES-GC,"27.958,-15.6062"
ES-GI,"42.0729,2.8357"
ES-GR,"37.3888,-3.2393"
ES-GU,"40.74,-2.5059"
ES-H,"37.502,-6.9228"
ES-HU,"42.1361,-0.0298"
ES-IB,"39.6134,2.8829"
ES-J,"37.9554,-3.4937"
ES-L,"42.0681,1.1799"
ES-LE,"42.6341,-5.9714"
ES-LO,"42.2815,-2.4828"
ES-LU,"43.0396,-7.4566"
ES-M,"40.5248,-3.7716"
ES-MA,"36.796,-4.5474"
ES-MC,"37.9166,-1.478"
ES-MD,"40.5248,-3.7716"
ES-ML,"35.2919,-2.9409"
ES-MU,"38.0647,-1.6722"
ES-NA,"42.6125,-1.8308"
ES-NC,"42.6125,-1.8308"
ES-O,"43.2711,-5.8541"
ES-OR,"42.194,-7.5371"
ES-P,"42.4096,-4.6161"
ES-PM,"39.6134,2.8829"
ES-PO,"42.3621,-8.5333"
ES-PV,"42.9912,-2.5543"
ES-RI,"42.3286,-2.4675"
ES-S,"43.1596,-4.0878"
ES-SA,"40.7666,-6.0218"
ES-SE,"37.5193,-5.6505"
ES-SG,"41.1086,-4.183"
ES-SO,"41.6013,-2.7219"
ES-SS,"43.1445,-2.2038"
ES-T,"41.0527,0.6268"
ES-TE,"40.6005,-0.9229"
ES-TF,"28.2936,-16.6214"
ES-TO,"39.7883,-4.103"
ES-V,"39.3342,-0.7973"
ES-VA,"41.703,-4.697"
ES-VC,"39.682,-0.7654"
ES-VI,"42.8441,-2.6821"
ES-Z,"41.84,-1.1695"
ES-ZA,"41.6858,-5.9423"
ET-AA,"9.0,38.75"
ET-AF,"11.7108,41.0331"
ET-AM,"11.5,38.5"
ET-BE,"10.3778,35.5084"
ET-DD,"9.5912,41.9797"
ET-GA,"7.8103,34.1822"
ET-HA,"9.2906,42.1886"
ET-OR,"7.6722,40.03"
ET-SI,"6.6508,38.4797"
ET-SN,"6.5,37.1"
ET-SO,"7.263,43.5361"
ET-SW,"6.7089,35.6842"
ET-TI,"13.8813,39.1275"
FI-01,"60.1516,20.088"
FI-02,"61.2667,28.4055"
FI-03,"62.7389,23.1124"
FI-04,"61.8424,28.0286"
FI-05,"64.5946,28.6811"
FI-06,"60.9377,24.1532"
FI-07,"63.6477,24.1114"
FI-08,"62.6094,25.5795"
FI-09,"60.7319,27.0829"
FI-10,"67.6922,26.7281"
FI-11,"61.7174,23.7157"
FI-12,"62.9652,21.2099"
FI-13,"62.8011,30.2127"
FI-14,"64.9522,25.6969"
FI-15,"63.0159,27.6268"
FI-16,"61.2297,25.8105"
FI-17,"61.5934,21.7825"
FI-18,"60.2247,25.1273"
FI-19,"60.3036,22.4113"
FJ-01,"-17.1183,177.3918"
FJ-02,"-16.6258,178.4774"
FJ-03,"-16.5162,-179.394"
FJ-04,"-18.9754,178.5278"
FJ-05,"-18.9706,-179.0584"
FJ-06,"-17.7171,179.3464"
FJ-07,"-16.1132,179.3419"
FJ-08,"-18.4585,177.5475"
FJ-09,"-17.8546,178.1921"
FJ-10,"-18.1114,178.1798"
FJ-11,"-17.4415,178.2403"
FJ-12,"-18.3051,178.5703"
FJ-13,"-18.4493,177.9133"
FJ-14,"-17.6438,178.5647"
FJ-C,"-17.9338,178.4121"
FJ-E,"-18.9706,-179.0584"
FJ-N,"-16.4039,179.049"
FJ-R,"-12.4995,177.0394"
FJ-W,"-17.7494,177.4529"
FM-KSA,"5.3171,162.9677"
FM-PNI,"6.9068,158.1046"
FM-TRK,"7.4394,151.8516"
FM-YAP,"9.5149,138.1251"
FR-01,"46.0652,5.2848"
FR-02,"49.4533,3.6069"
FR-03,"46.3675,3.1639"
FR-04,"44.1641,6.1879"
FR-05,"44.6565,6.352"
FR-06,"43.9211,7.1791"
FR-07,"44.8152,4.3987"
FR-08,"49.698,4.6716"
FR-09,"42.9455,1.4066"
FR-10,"48.3202,4.1905"
FR-11,"43.0543,2.5125"
FR-12,"44.3159,2.5066"
FR-13,"43.5424,5.0343"
FR-14,"49.0908,-0.2412"
FR-15,"45.0498,2.6997"
FR-16,"45.6668,0.0973"
FR-17,"45.7302,-0.7213"
FR-18,"47.0249,2.5753"
FR-19,"45.3429,1.8176"
FR-20R,"42.1881,9.0683"
FR-21,"47.4655,4.7481"
FR-22,"48.4615,-2.7514"
FR-23,"46.0593,2.0489"
FR-24,"45.1429,0.6321"
FR-25,"47.067,6.2356"
FR-26,"44.7295,5.2046"
FR-27,"49.0756,0.9652"
FR-28,"48.4474,1.3999"
FR-29,"48.2451,-4.0441"
FR-2A,"41.8734,9.0087"
FR-2B,"42.422,9.1009"
FR-30,"43.9599,4.2976"
FR-31,"43.3055,0.9717"
FR-32,"43.6955,0.4101"
FR-33,"44.8837,-0.6051"
FR-34,"43.5914,3.3553"
FR-35,"48.1728,-1.6498"
FR-36,"46.8121,1.5382"
FR-37,"47.2232,0.6867"
FR-38,"45.2898,5.6344"
FR-39,"46.7834,5.7833"
FR-40,"44.01,-0.6434"
FR-41,"47.6598,1.2972"
FR-42,"45.7539,4.0455"
FR-43,"45.0857,3.8338"
FR-44,"47.3482,-1.8727"
FR-45,"47.9139,2.3075"
FR-46,"44.625,1.6658"
FR-47,"44.3692,0.4539"
FR-48,"44.5426,3.5211"
FR-49,"47.3886,-0.3909"
FR-50,"49.0919,-1.2455"
FR-51,"48.9613,4.3122"
FR-52,"48.1329,5.2529"
FR-53,"48.1508,-0.6491"
FR-54,"48.956,5.987"
FR-55,"49.013,5.4287"
FR-56,"47.826,-2.7633"
FR-57,"49.0207,6.538"
FR-58,"47.1197,3.5449"
FR-59,"50.529,3.0884"
FR-60,"49.4121,2.4065"
FR-61,"48.5759,0.0449"
FR-62,"50.5144,2.258"
FR-63,"45.7715,3.084"
FR-64,"43.1872,-0.7282"
FR-65,"43.1438,0.1587"
FR-66,"42.6259,2.5065"
FR-67,"48.599,7.5336"
FR-68,"47.8656,7.2316"
FR-69,"45.8802,4.5645"
FR-69M,"45.7482,4.8557"
FR-6AE,"48.2491,7.4074"
FR-70,"47.6384,6.0951"
FR-71,"46.6557,4.5587"
FR-72,"48.0269,0.2538"
FR-73,"45.4949,6.3847"
FR-74,"46.069,6.3445"
FR-75C,"48.8535,2.3484"
FR-76,"49.6614,0.9374"
FR-77,"48.619,3.0418"
FR-78,"48.762,1.8871"
FR-79,"46.5391,-0.2995"
FR-80,"49.9689,2.3739"
FR-81,"43.7922,2.134"
FR-82,"44.0807,1.2051"
FR-83,"43.4174,6.2665"
FR-84,"43.9939,5.1819"
FR-85,"46.6758,-1.2914"
FR-86,"46.6121,0.4654"
FR-87,"45.919,1.2032"
FR-88,"48.1638,6.3821"
FR-89,"47.8551,3.645"
FR-90,"47.6292,6.8993"
FR-91,"48.5303,2.2393"
FR-92,"48.8402,2.1986"
FR-93,"48.9098,2.4529"
FR-94,"48.7745,2.4543"
FR-95,"49.0751,2.2098"
FR-971,"16.2529,-61.5687"
FR-972,"14.6114,-60.9621"
FR-973,"4.004,-53.0"
FR-974,"-21.1309,55.5266"
FR-976,"-12.8255,45.1485"
FR-ARA,"45.2968,4.6605"
FR-BFC,"47.1187,4.9691"
FR-BL,"17.8968,-62.8256"
FR-BRE,"48.2641,-2.9202"
FR-CP,"10.3021,-109.2178"
FR-CVL,"47.549,1.7324"
FR-GES,"48.4845,6.113"
FR-HDF,"50.1025,2.7248"
FR-IDF,"48.6443,2.7538"
FR-MF,"18.0814,-63.0467"
FR-NAQ,"45.4039,0.3756"
FR-NC,"-21.302,165.4881"
FR-NOR,"49.0678,0.3139"
FR-OCC,"43.6488,2.3436"
FR-PAC,"44.0581,6.0639"
FR-PDL,"47.6595,-0.8186"
FR-PF,"-17.0244,-144.6435"
FR-PM,"46.8375,-56.2121"
FR-TF,"-49.2374,69.6228"
FR-WF,"-13.2894,-176.2042"
GA-1,"0.4303,9.4655"
GA-2,"-1.2315,13.831"
GA-3,"-0.5003,10.4991"
GA-4,"-1.5911,10.9785"
GA-5,"-3.008,10.9965"
GA-6,"0.6008,12.6888"
GA-7,"-1.0003,12.4952"
GA-8,"-1.4958,9.5061"
GA-9,"1.295,11.8219"
GB-ABC,"54.3853,-6.4249"
GB-ABD,"57.1667,-2.6667"
GB-ABE,"57.1482,-2.0928"
GB-AGB,"56.4603,-5.8618"
GB-AGY,"53.2782,-4.3479"
GB-AND,"54.502,-5.6486"
GB-ANN,"54.6897,-6.1711"
GB-ANS,"56.6667,-2.9167"
GB-BAS,"51.3563,-2.4867"
GB-BBD,"53.6992,-2.4709"
GB-BCP,"50.7455,-1.8482"
GB-BDF,"52.1887,-0.4666"
GB-BDG,"51.5541,0.1505"
GB-BEN,"51.564,-0.2759"
GB-BEX,"51.462,0.1457"
GB-BFS,"54.5976,-5.9277"
GB-BGE,"51.5571,-3.5644"
GB-BGW,"51.7534,-3.1848"
GB-BIR,"52.4797,-1.9027"
GB-BKM,"51.7835,-0.8946"
GB-BNE,"51.6127,-0.2117"
GB-BNH,"50.8453,-0.1497"
GB-BNS,"53.5528,-1.4828"
GB-BOL,"53.5783,-2.43"
GB-BPL,"53.8245,-3.037"
GB-BRC,"51.4003,-0.7418"
GB-BRD,"53.7944,-1.7519"
GB-BRY,"51.3669,0.0617"
GB-BST,"51.4431,-2.5816"
GB-BUR,"53.5928,-2.2973"
GB-CAM,"52.3333,0.0833"
GB-CAY,"51.6724,-3.1784"
GB-CBF,"51.998,-0.4792"
GB-CCG,"55.0361,-6.5909"
GB-CGN,"52.2946,-3.9528"
GB-CHE,"53.1673,-2.2929"
GB-CHW,"53.1638,-2.7285"
GB-CLD,"53.7205,-1.9623"
GB-CLK,"56.1664,-3.7514"
GB-CMA,"54.6143,-2.9421"
GB-CMD,"51.5428,-0.1625"
GB-CMN,"51.8937,-4.2173"
GB-CON,"50.4167,-4.75"
GB-COV,"52.4082,-1.5105"
GB-CRF,"51.5017,-3.193"
GB-CRY,"51.3551,-0.0643"
GB-CWY,"53.1461,-3.7599"
GB-DAL,"54.5353,-1.5529"
GB-DBY,"53.1667,-1.5833"
GB-DEN,"53.1098,-3.3671"
GB-DER,"52.9142,-1.472"
GB-DEV,"50.75,-3.75"
GB-DGY,"55.0833,-3.8333"
GB-DNC,"53.5228,-1.1335"
GB-DND,"56.4738,-2.9664"
GB-DOR,"50.75,-2.3333"
GB-DRS,"54.837,-7.2448"
GB-DUD,"52.5111,-2.0817"
GB-DUR,"54.6667,-1.75"
GB-EAL,"51.5251,-0.3143"
GB-EAY,"55.5,-4.25"
GB-EDH,"55.9533,-3.1884"
GB-EDU,"55.9333,-4.2"
GB-ELN,"55.9158,-2.7512"
GB-ELS,"57.6667,-7.1667"
GB-ENF,"51.6488,-0.0809"
GB-ENG,"52.531,-1.2649"
GB-ERW,"55.7495,-4.3607"
GB-ERY,"53.9112,-0.5813"
GB-ESS,"51.7967,0.5793"
GB-ESX,"50.9404,0.37"
GB-FAL,"56.0021,-3.7496"
GB-FIF,"56.3333,-3.0"
GB-FLN,"53.2165,-3.1402"
GB-FMO,"54.4936,-7.537"
GB-GAT,"54.9626,-1.6019"
GB-GLG,"55.8555,-4.2262"
GB-GLS,"51.8333,-2.1667"
GB-GRE,"51.4686,0.0488"
GB-GWN,"52.909,-3.8335"
GB-HAL,"53.3539,-2.7428"
GB-HAM,"51.0833,-1.1667"
GB-HAV,"51.5579,0.2498"
GB-HCK,"51.5489,-0.0477"
GB-HEF,"52.0833,-2.75"
GB-HIL,"51.5425,-0.4483"
GB-HLD,"57.5066,-5.0038"
GB-HMF,"51.4983,-0.2279"
