subdivisionCode,latLng
AZ-MAS,"39.0306,48.6917"
AZ-MI,"40.7647,47.0524"
AZ-NA,"40.5064,46.8212"
AZ-NEF,"39.256,49.407"
AZ-NV,"39.2175,45.407"
AZ-NX,"39.3194,45.519"
AZ-OGU,"41.0434,47.4757"
AZ-ORD,"39.076,45.9228"
AZ-QAB,"40.9436,47.8213"
AZ-QAX,"41.2564,46.8006"
AZ-QAZ,"41.1707,45.2529"
AZ-QBA,"41.1881,48.3721"
AZ-QBI,"39.3336,46.6335"
AZ-QOB,"40.5326,48.9942"
AZ-QUS,"41.4499,48.2889"
AZ-SA,"41.2034,47.1803"
AZ-SAB,"39.889,48.7957"
AZ-SAD,"39.6727,44.9139"
AZ-SAH,"39.4386,45.6071"
AZ-SAK,"41.1191,47.0818"
AZ-SAL,"39.6524,49.1084"
AZ-SAR,"39.5893,45.0362"
AZ-SAT,"39.8378,48.4556"
AZ-SBN,"41.1776,48.8767"
AZ-SIY,"41.0904,49.2061"
AZ-SKR,"40.8675,46.0169"
AZ-SM,"40.7039,49.6577"
AZ-SMI,"40.6021,48.6223"
AZ-SMX,"40.9461,46.5186"
AZ-SR,"39.9297,48.9343"
AZ-SUS,"39.7062,46.6773"
AZ-TAR,"40.348,46.9749"
AZ-TOV,"40.9332,45.668"
AZ-UCA,"40.4316,47.7347"
AZ-XA,"39.8182,46.7511"
AZ-XAC,"41.6556,48.8611"
AZ-XCI,"39.8468,46.6556"
AZ-XIZ,"40.7647,49.2458"
AZ-XVD,"39.6591,46.953"
AZ-YAR,"38.9029,48.2133"
AZ-YE,"40.6116,47.1467"
AZ-YEV,"40.7101,47.0481"
AZ-ZAN,"39.0543,46.6555"
AZ-ZAQ,"41.618,46.7595"
AZ-ZAR,"40.2448,47.7144"
BA-BIH,"43.9167,17.5482"
BA-BRC,"44.8438,18.7984"
BA-SRP,"44.6696,17.3659"
BB-01,"13.0826,-59.5374"
BB-02,"13.2433,-59.5732"
BB-03,"13.1384,-59.5444"
BB-04,"13.1864,-59.6252"
BB-05,"13.1733,-59.4989"
BB-06,"13.2038,-59.5454"
BB-07,"13.3024,-59.6129"
BB-08,"13.1183,-59.6016"
BB-09,"13.262,-59.6207"
BB-10,"13.1295,-59.4674"
BB-11,"13.1772,-59.5854"
BD-01,"21.7875,92.4125"
BD-02,"22.1313,90.1172"
BD-03,"24.8347,89.3342"
BD-04,"23.9606,91.1191"
BD-05,"22.1967,89.7118"
BD-06,"22.7563,90.411"
BD-07,"22.1436,90.7904"
BD-08,"23.4208,91.0795"
BD-09,"23.2579,90.8067"
BD-10,"22.4225,91.7313"
BD-11,"21.1766,92.0035"
BD-12,"23.6033,88.8244"
BD-13,"23.7805,90.3583"
BD-14,"25.6376,88.725"
BD-15,"23.4649,89.8619"
BD-16,"23.0128,91.4049"
BD-17,"23.1034,89.9078"
BD-18,"24.093,90.4104"
BD-19,"25.3398,89.5393"
BD-20,"24.3346,91.4212"
BD-21,"25.0005,89.7782"
BD-22,"23.0842,89.1247"
BD-23,"23.4947,89.1255"
BD-24,"25.066,89.0923"
BD-25,"22.5624,90.1743"
BD-26,"24.3408,90.9277"
BD-27,"22.2104,89.4298"
BD-28,"25.806,89.6434"
BD-29,"23.2148,91.9591"
BD-30,"23.9479,88.9764"
BD-31,"22.8299,90.8372"
BD-32,"26.1228,89.1621"
BD-33,"23.833,89.9667"
BD-34,"24.7226,90.4187"
BD-35,"23.5266,90.4185"
BD-36,"23.234,90.1446"
BD-37,"23.4675,89.4588"
BD-38,"24.4851,91.8802"
BD-39,"23.7887,88.702"
BD-40,"23.7203,90.6126"
BD-41,"24.8828,90.7962"
BD-42,"24.0238,90.8163"
BD-43,"23.1363,89.5474"
BD-44,"24.3952,89.0914"
BD-45,"24.6927,88.2611"
BD-46,"26.0245,88.9327"
BD-47,"22.2541,91.1714"
BD-48,"24.8735,88.7376"
BD-49,"24.0842,89.3445"
BD-50,"22.5096,90.0072"
BD-51,"22.0084,90.3827"
BD-52,"26.3209,88.5471"
BD-53,"23.7398,89.5704"
BD-54,"24.4175,88.628"
BD-55,"25.6347,89.2615"
BD-56,"22.8177,92.2197"
BD-57,"25.0935,90.0978"
BD-58,"22.1808,89.1921"
BD-59,"24.3994,89.5316"
BD-60,"24.8897,91.9672"
BD-61,"24.8872,91.3887"
BD-62,"23.2355,90.44"
BD-63,"24.3764,90.0079"
BD-64,"25.9363,88.3117"
BD-A,"22.4934,90.3548"
BD-B,"22.68,91.884"
BD-C,"23.9456,90.2526"
BD-D,"22.9372,89.2853"
BD-E,"24.6285,89.0377"
BD-F,"25.6376,89.0826"
BD-G,"24.7359,91.6852"
BD-H,"24.8889,90.3845"
BE-BRU,"50.8388,4.3753"
BE-VAN,"51.2477,4.7766"
BE-VBR,"50.8687,4.7886"
BE-VLG,"51.0962,4.1786"
BE-VLI,"50.9978,5.4454"
BE-VOV,"51.0375,3.8118"
BE-VWV,"51.0405,2.9994"
BE-WAL,"50.1546,5.3992"
BE-WBR,"50.6663,4.55"
BE-WHT,"50.3619,4.1252"
BE-WLG,"50.4708,5.7736"
BE-WLX,"49.9638,5.4398"
