alphaCode,subdivisionCode,name,localOtherName,type,parentCode,flag,latLng,customAttributes,delete,notes,dateIssued
NZ,NZ-WGN,Greater Wellington,Te Pane Matua Taiao,,,,,,,Updating NZ-WGN subdivision name and local name,2022-11-29
NZ,NZ-MWT,Manawatū-Whanganui,Manawatū Whanganui,,,,,,,Updating NZ-WGN subdivision name and local name,2022-11-29
NZ,NZ-WKO,Waikato,,,,,,,,Updating NZ-WKO subdivision name and local name,2022-11-29
NZ,NZ-TAS,,Te tai o Aorere,,,,,,,Updating NZ-TAS subdivision name,2022-11-29
PA,PA-NB,Ngäbe-Buglé,,,,,,,,Changing PA-NB subdivision name,2022-11-29
PE,PE-AMA,Amazonas,,,,,,,,Changing PE-AMA name from its Quechua (qu) translation to Spanish (es) to align with PE's other subdivision names,2024-05-01
PE,PE-APU,Apurímac,,,,,,,,Changing PE-APU name from its Quechua (qu) translation to Spanish (es) to align with PE's other subdivision names,2024-05-01
PE,PE-JUN,Junín,,,,,,,,Changing PE-JUN name from its Quechua (qu) translation to Spanish (es) to align with PE's other subdivision names,2024-05-01
PL,PL-04,Kujawsko-Pomorskie,,,,,,,,Updating PL-04 subdivision name,2022-11-29
PL,PL-28,Warmińsko-Mazurskie,,,,,,,,Updating PL-04 subdivision name,2022-11-29
SI,SI-044,Kanal ob Soči,,,,,,,,Updating SI-044 subdivision name,2022-11-29
SI,SI-197,Kostanjevica na Krki,,,,,,,,Updating SI-197 subdivision name,2022-11-29
SI,SI-011,,,Urban municipality,,,,,,Updating SI-011 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-050,,,Urban municipality,,,,,,Updating SI-050 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-052,,,Urban municipality,,,,,,Updating SI-052 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-054,,,Urban municipality,,,,,,Updating SI-054 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-061,,,Urban municipality,,,,,,Updating SI-061 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-070,,,Urban municipality,,,,,,Updating SI-070 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-080,,,Urban municipality,,,,,,Updating SI-080 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-084,,,Urban municipality,,,,,,Updating SI-084 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-085,,,Urban municipality,,,,,,Updating SI-085 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-096,,,Urban municipality,,,,,,Updating SI-096 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-112,,,Urban municipality,,,,,,Updating SI-112 subdivision type from municipality to urban municipality,2022-11-29
SI,SI-133,,,Urban municipality,,,,,,Updating SI-133 subdivision type from municipality to urban municipality,2022-11-29
IN,IN-OR (IN-OD),,,,,,,,,Changing IN-OR subdivision code to IN-OD,2023-11-23
IN,IN-CT (IN-CG),,,,,,,,,Changing IN-CT subdivision code to IN-CG,2023-11-23
IN,IN-TG (IN-TS),,,,,,,,,Changing IN-TG subdivision code to IN-TS,2023-11-23
IN,IN-UT (IN-UK),,,,,,,,,Changing IN-UT subdivision code to IN-UK,2023-11-23
KR,KR-42,,,special self-governing province,,,,,,Changing KR-42 subdivision type from province to self governing province,2023-11-23
KR,KR-42,Gangwon-teukbyeoljachido,,,,,,,,Changing KR-42 name from Gangwon-do to Gangwon-teukbyeoljachido,2023-11-23
NP,NP-P1,Koshi,Koshī,,,,,,,Changing NP-P1 subdivision name,2023-11-23
TD,TD-BA,Batha,,,,,,,,Changing TD-BA name from its Arabic translation to French to align with TD's other subdivision names,2024-05-01
TD,TD-BG,Bahr el Ghazal,,,,,,,,Changing TD-DG name from its Arabic translation to French to align with TD's other subdivision names,2024-05-01
TD,TD-LC,Lac,,,,,,,,Changing TD-LC name from its Arabic translation to French to align with TD's other subdivision names,2024-05-01
TL,TL-LA,Lautém,,,,,,,,Changing TL-LA name to its Portuguese translation to align with TL's other subdivision names,2024-05-01
TL,TL-LI,Liquiça,,,,,,,,Changing TL-LI name to its Portuguese translation to align with TL's other subdivision names,2024-05-01
TL,TL-OE,Oé-Cusse Ambeno,,,,,,,,Changing TL-OE name to its Portuguese translation to align with TL's other subdivision names,2024-05-01
TL,TL-VI,Viqueque,,,,,,,,Changing TL-VI name to its Portuguese translation to align with TL's other subdivision names,2024-05-01
BY,BY-HM,Horad Minsk,,,,,,,,Changing BY-HM name to its Belarussian translation to align with BY's other subdivision names,2025-07-01
BY,BY-HO,Homieĺskaja voblasć',,,,,,,,Changing BY-HO name to its Belarussian translation to align with BY's other subdivision names,2025-07-01
BY,BY-HR,Hrodzienskaja voblasć',,,,,,,,Changing BY-HR name to its Belarussian translation to align with BY's other subdivision names,2025-07-01
BY,BY-MI,Minskaja voblasć',,,,,,,,Changing BY-MI name to its Belarussian translation to align with BY's other subdivision names,2025-07-01
CH,CH-BE,Bern,,,,,,,,Changing CH-BE name to its German translation as it is the predominant language,2025-07-01
ES,ES-A,Alacant,,,,,,,,Changing ES-A name from Alacant* to Alacant removing the *,2025-07-01
ES,ES-CS,Castelló,,,,,,,,Changing ES-CS name from Castelló* to Castelló removing the *,2025-07-01
ES,ES-NA,Nafarroa,,,,,,,,Changing ES-NA name from Nafarroa* to Nafarroa removing the *,2025-07-01
ES,ES-VI,Araba,,,,,,,,Changing ES-VI name from Araba* to Araba removing the *,2025-07-01
PE,PE-SAM,San Martín,,,,,,,,Changing PE-SAM name to its Spanish translationb to align with PE's subdivision names,2025-07-01
